word,sentiment,n
the,positive,340650
the,negative,326285
and,positive,176555
a,positive,163900
a,negative,158277
of,positive,152093
and,negative,147703
of,negative,137289
to,negative,136784
to,positive,131287
is,positive,111810
br,negative,103997
is,negative,99234
in,positive,99178
br,positive,97954
in,negative,87486
this,negative,81210
i,negative,81162
it,negative,78581
it,positive,77892
i,positive,72440
that,negative,70175
this,positive,69429
that,positive,66820
was,negative,52255
as,positive,51068
movie,negative,49582
with,positive,45699
for,positive,44207
was,positive,43322
for,negative,43205
but,negative,42744
with,negative,41632
film,positive,40946
but,positive,40629
as,negative,40618
movie,positive,37373
film,negative,36662
on,negative,34299
on,positive,33722
his,positive,33707
not,negative,32424
you,negative,30773
have,negative,30606
you,positive,29556
are,positive,29228
are,negative,29151
be,negative,28817
he,positive,28674
not,positive,28278
one,positive,26976
one,negative,26029
have,positive,24583
be,positive,24550
at,negative,24398
his,negative,23813
he,negative,23763
all,negative,23754
they,negative,23749
by,positive,23732
all,positive,23078
so,negative,22735
an,positive,22462
like,negative,22449
at,positive,22371
who,positive,21771
just,negative,21063
from,positive,20911
by,negative,20732
an,negative,20493
or,negative,20347
from,negative,19571
her,positive,19415
if,negative,19237
who,negative,18862
they,positive,18095
so,positive,18092
out,negative,17980
has,positive,17975
about,negative,17794
like,positive,17703
there,negative,17498
it's,negative,16730
it's,positive,16660
some,negative,16650
about,positive,16358
out,positive,16194
very,positive,16159
no,negative,16039
what,negative,15986
or,positive,15399
her,negative,15344
even,negative,15235
has,negative,15057
good,positive,14979
more,positive,14727
bad,negative,14707
good,negative,14697
if,positive,14647
what,positive,14632
when,positive,14542
some,positive,14456
just,positive,14095
up,negative,13865
would,negative,13761
there,positive,13675
when,negative,13478
only,negative,13370
more,negative,13266
she,positive,13083
great,positive,12930
my,positive,12877
story,positive,12857
time,positive,12699
well,positive,12690
up,positive,12506
really,negative,12349
time,negative,12331
see,positive,12254
their,positive,12252
which,positive,12035
had,negative,12001
my,negative,11976
were,negative,11817
very,negative,11556
which,negative,11359
me,negative,11247
she,negative,11086
can,positive,11081
can,negative,10926
also,positive,10762
see,negative,10739
really,positive,10738
their,negative,10482
would,positive,10471
do,negative,10420
will,positive,10267
don't,negative,10203
me,positive,10169
than,negative,10157
story,negative,10134
been,negative,10108
much,negative,10102
get,negative,10093
had,positive,10060
we,positive,9979
only,positive,9859
him,positive,9790
because,negative,9731
even,positive,9605
most,positive,9552
other,positive,9483
were,positive,9389
make,negative,9351
people,negative,9307
then,negative,9302
how,negative,9293
we,negative,9267
first,positive,9220
no,positive,9220
much,positive,9188
than,positive,9173
any,negative,9121
into,negative,9074
could,negative,9071
its,positive,8980
made,negative,8794
into,positive,8772
love,positive,8670
other,negative,8624
people,positive,8543
well,negative,8523
best,positive,8501
first,negative,8344
them,negative,8340
how,positive,8298
movies,negative,8289
get,positive,8267
too,negative,8247
been,positive,8239
plot,negative,8188
acting,negative,8070
life,positive,8042
because,positive,7979
way,positive,7843
will,negative,7824
most,negative,7807
do,positive,7780
him,negative,7770
way,negative,7764
them,positive,7648
many,positive,7621
films,positive,7579
after,negative,7514
after,positive,7437
characters,negative,7342
made,positive,7336
watch,negative,7210
think,positive,7206
off,negative,7201
also,negative,7164
two,positive,7154
think,negative,7125
too,positive,7109
characters,positive,7087
its,negative,7034
did,negative,6991
movies,positive,6973
why,negative,6932
seen,positive,6748
better,negative,6728
know,negative,6721
watch,positive,6709
being,negative,6674
then,positive,6673
character,positive,6657
character,negative,6651
don't,positive,6650
never,negative,6645
show,positive,6611
seen,negative,6607
ever,negative,6560
make,positive,6536
your,negative,6506
little,positive,6460
being,positive,6439
over,negative,6427
where,negative,6426
still,positive,6414
two,negative,6379
man,positive,6358
never,positive,6336
films,negative,6147
could,positive,6138
where,positive,6107
little,negative,5971
does,positive,5953
any,positive,5916
say,negative,5906
nothing,negative,5865
something,negative,5828
show,negative,5816
many,negative,5814
over,positive,5781
scene,negative,5768
know,positive,5757
